Age,Tm,Lg,G_reg,W_reg,L_reg,W/L%_reg,W > .500,Finish,G_playoff,W_playoff,L_playoff,W/L%_playoff,Notes,coachName,coach_id,seasonStartYear,coachType
32.0,SEA,NBA,82.0,36.0,46.0,0.439,-5.0,5.0,,,,,,Lenny Wilkens,1,1969,Head Coach
33.0,SEA,NBA,82.0,38.0,44.0,0.463,-3.0,4.0,,,,,,Lenny Wilkens,1,1970,Head Coach
34.0,SEA,NBA,82.0,47.0,35.0,0.573,6.0,3.0,,,,,,Lenny Wilkens,1,1971,Head Coach
37.0,POR,NBA,82.0,38.0,44.0,0.463,-3.0,3.0,,,,,,Lenny Wilkens,1,1974,Head Coach
38.0,POR,NBA,82.0,37.0,45.0,0.451,-4.0,5.0,,,,,,Lenny Wilkens,1,1975,Head Coach
40.0,SEA,NBA,60.0,42.0,18.0,0.7,12.0,3.0,22.0,13.0,9.0,0.591,WC Champions,Lenny Wilkens,1,1977,Head Coach
41.0,SEA,NBA,82.0,52.0,30.0,0.634,11.0,1.0,17.0,12.0,5.0,0.706,NBA Champions,Lenny Wilkens,1,1978,Head Coach
42.0,SEA,NBA,82.0,56.0,26.0,0.683,15.0,2.0,15.0,7.0,8.0,0.467,,Lenny Wilkens,1,1979,Head Coach
43.0,SEA,NBA,82.0,34.0,48.0,0.415,-7.0,6.0,,,,,,Lenny Wilkens,1,1980,Head Coach
44.0,SEA,NBA,82.0,52.0,30.0,0.634,11.0,2.0,8.0,3.0,5.0,0.375,,Lenny Wilkens,1,1981,Head Coach
45.0,SEA,NBA,82.0,48.0,34.0,0.585,7.0,3.0,2.0,0.0,2.0,0.0,,Lenny Wilkens,1,1982,Head Coach
46.0,SEA,NBA,82.0,42.0,40.0,0.512,1.0,3.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1983,Head Coach
47.0,SEA,NBA,82.0,31.0,51.0,0.378,-10.0,4.0,,,,,,Lenny Wilkens,1,1984,Head Coach
49.0,CLE,NBA,82.0,31.0,51.0,0.378,-10.0,6.0,,,,,,Lenny Wilkens,1,1986,Head Coach
50.0,CLE,NBA,82.0,42.0,40.0,0.512,1.0,5.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1987,Head Coach
51.0,CLE,NBA,82.0,57.0,25.0,0.695,16.0,2.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1988,Head Coach
52.0,CLE,NBA,82.0,42.0,40.0,0.512,1.0,4.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,1989,Head Coach
53.0,CLE,NBA,82.0,33.0,49.0,0.402,-8.0,6.0,,,,,,Lenny Wilkens,1,1990,Head Coach
54.0,CLE,NBA,82.0,57.0,25.0,0.695,16.0,2.0,17.0,9.0,8.0,0.529,,Lenny Wilkens,1,1991,Head Coach
55.0,CLE,NBA,82.0,54.0,28.0,0.659,13.0,2.0,9.0,3.0,6.0,0.333,,Lenny Wilkens,1,1992,Head Coach
56.0,ATL,NBA,82.0,57.0,25.0,0.695,16.0,1.0,11.0,5.0,6.0,0.455,,Lenny Wilkens,1,1993,Head Coach
57.0,ATL,NBA,82.0,42.0,40.0,0.512,1.0,5.0,3.0,0.0,3.0,0.0,,Lenny Wilkens,1,1994,Head Coach
58.0,ATL,NBA,82.0,46.0,36.0,0.561,5.0,4.0,10.0,4.0,6.0,0.4,,Lenny Wilkens,1,1995,Head Coach
59.0,ATL,NBA,82.0,56.0,26.0,0.683,15.0,2.0,10.0,4.0,6.0,0.4,,Lenny Wilkens,1,1996,Head Coach
60.0,ATL,NBA,82.0,50.0,32.0,0.61,9.0,4.0,4.0,1.0,3.0,0.25,,Lenny Wilkens,1,1997,Head Coach
61.0,ATL,NBA,50.0,31.0,19.0,0.62,6.0,2.0,9.0,3.0,6.0,0.333,,Lenny Wilkens,1,1998,Head Coach
62.0,ATL,NBA,82.0,28.0,54.0,0.341,-13.0,7.0,,,,,,Lenny Wilkens,1,1999,Head Coach
63.0,TOR,NBA,82.0,47.0,35.0,0.573,6.0,2.0,12.0,6.0,6.0,0.5,,Lenny Wilkens,1,2000,Head Coach
64.0,TOR,NBA,82.0,42.0,40.0,0.512,1.0,3.0,5.0,2.0,3.0,0.4,,Lenny Wilkens,1,2001,Head Coach
65.0,TOR,NBA,82.0,24.0,58.0,0.293,-17.0,7.0,,,,,,Lenny Wilkens,1,2002,Head Coach
66.0,NYK,NBA,42.0,23.0,19.0,0.548,2.0,3.0,4.0,0.0,4.0,0.0,,Lenny Wilkens,1,2003,Head Coach
67.0,NYK,NBA,39.0,17.0,22.0,0.436,-2.5,5.0,,,,,,Lenny Wilkens,1,2004,Head Coach
45.0,BOS,NBA,82.0,33.0,49.0,0.402,-8.0,5.0,,,,,,M.L. Carr,2,1995,Head Coach
46.0,BOS,NBA,82.0,15.0,67.0,0.183,-26.0,7.0,,,,,,M.L. Carr,2,1996,Head Coach
30.0,BOS,NBA,68,27,41,.397,-7.0,5,,,,,,Dave Cowens,3,1978,Head Coach
48.0,CHH,NBA,82,54,28,.659,13.0,4,3,0,3,.000,,Dave Cowens,3,1996,Head Coach
49.0,CHH,NBA,82,51,31,.622,10.0,3,9,4,5,.444,,Dave Cowens,3,1997,Head Coach
50.0,CHH,NBA,15,4,11,.267,-3.5,5,,,,,,Dave Cowens,3,1998,Head Coach
52.0,GSW,NBA,82,17,65,.207,-24.0,7,,,,,,Dave Cowens,3,2000,Head Coach
53.0,GSW,NBA,23,8,15,.348,-3.5,7,,,,,,Dave Cowens,3,2001,Head Coach
44.0,CHI,NBA,82,55,27,.671,14.0,2,16,10,6,.625,,Phil Jackson,4,1989,Head Coach
45.0,CHI,NBA,82,61,21,.744,20.0,1,17,15,2,.882,NBA Champions,Phil Jackson,4,1990,Head Coach
46.0,CHI,NBA,82,67,15,.817,26.0,1,22,15,7,.682,NBA Champions,Phil Jackson,4,1991,Head Coach
47.0,CHI,NBA,82,57,25,.695,16.0,1,19,15,4,.789,NBA Champions,Phil Jackson,4,1992,Head Coach
48.0,CHI,NBA,82,55,27,.671,14.0,2,10,6,4,.600,,Phil Jackson,4,1993,Head Coach
49.0,CHI,NBA,82,47,35,.573,6.0,3,10,5,5,.500,,Phil Jackson,4,1994,Head Coach
50.0,CHI,NBA,82,72,10,.878,31.0,1,18,15,3,.833,NBA Champions,Phil Jackson,4,1995,Head Coach
51.0,CHI,NBA,82,69,13,.841,28.0,1,19,15,4,.789,NBA Champions,Phil Jackson,4,1996,Head Coach
52.0,CHI,NBA,82,62,20,.756,21.0,1,21,15,6,.714,NBA Champions,Phil Jackson,4,1997,Head Coach
54.0,LAL,NBA,82,67,15,.817,26.0,1,23,15,8,.652,NBA Champions,Phil Jackson,4,1999,Head Coach
55.0,LAL,NBA,82,56,26,.683,15.0,1,16,15,1,.938,NBA Champions,Phil Jackson,4,2000,Head Coach
56.0,LAL,NBA,82,58,24,.707,17.0,2,19,15,4,.789,NBA Champions,Phil Jackson,4,2001,Head Coach
57.0,LAL,NBA,82,50,32,.610,9.0,2,12,6,6,.500,,Phil Jackson,4,2002,Head Coach
58.0,LAL,NBA,82,56,26,.683,15.0,1,22,13,9,.591,WC Champions,Phil Jackson,4,2003,Head Coach
60.0,LAL,NBA,82,45,37,.549,4.0,3,7,3,4,.429,,Phil Jackson,4,2005,Head Coach
61.0,LAL,NBA,82,42,40,.512,1.0,2,5,1,4,.200,,Phil Jackson,4,2006,Head Coach
62.0,LAL,NBA,82,57,25,.695,16.0,1,21,14,7,.667,WC Champions,Phil Jackson,4,2007,Head Coach
63.0,LAL,NBA,82,65,17,.793,24.0,1,23,16,7,.696,NBA Champions,Phil Jackson,4,2008,Head Coach
64.0,LAL,NBA,82,57,25,.695,16.0,1,23,16,7,.696,NBA Champions,Phil Jackson,4,2009,Head Coach
